"Année";"Pays de résidence";"Droit de cité";"Sexe - total Classe d'âge - total";"Sexe - total 0-17 ans";"Sexe - total 18-64 ans";"Sexe - total 65 ans ou plus";"Homme Classe d'âge - total";"Homme 0-17 ans";"Homme 18-64 ans";"Homme 65 ans ou plus";"Femme Classe d'âge - total";"Femme 0-17 ans";"Femme 18-64 ans";"Femme 65 ans ou plus"
"2019";">> 8362 Érythrée";"Droit de cité - total";4;1;1;2;0;0;0;0;4;1;1;2
"2019";">> 8363 Soudan du Sud";"Droit de cité - total";21;2;17;2;9;1;7;1;12;1;10;1
"2019";">> 8381 Afrique du Nord Espagnole";"Droit de cité - total";0;0;0;0;0;0;0;0;0;0;0;0
"2019";"- Amérique";"Droit de cité - total";181780;32758;107182;41840;84940;16797;51614;16529;96840;15961;55568;25311
"2019";">> 8401 Argentine";"Droit de cité - total";15437;2595;9040;3802;6947;1331;4305;1311;8490;1264;4735;2491
"2019";">> 8402 Bahamas";"Droit de cité - total";366;100;190;76;197;52;108;37;169;48;82;39
"2019";">> 8403 Barbade";"Droit de cité - total";34;3;23;8;11;0;10;1;23;3;13;7
"2019";">> 8404 Bermudes";"Droit de cité - total";125;20;69;36;59;12;33;14;66;8;36;22
"2019";">> 8405 Bolivie";"Droit de cité - total";851;219;458;174;420;117;222;81;431;102;236;93
"2019";">> 8406 Brésil";"Droit de cité - total";13857;2355;7999;3503;6619;1180;3851;1588;7238;1175;4148;1915
"2019";">> 8407 Chili";"Droit de cité - total";5490;1363;3181;946;2572;687;1526;359;2918;676;1655;587
"2019";">> 8408 Costa Rica";"Droit de cité - total";1645;307;1015;323;812;157;479;176;833;150;536;147
"2019";">> 8409 République dominicaine";"Droit de cité - total";2027;458;1107;462;1060;229;488;343;967;229;619;119
"2019";">> 8410 Équateur";"Droit de cité - total";1778;465;984;329;886;244;474;168;892;221;510;161
"2019";">> 8411 El Salvador";"Droit de cité - total";437;100;244;93;203;47;119;37;234;53;125;56
"2019";">> 8412 Îles Falkland";"Droit de cité - total";1;0;1;0;0;0;0;0;1;0;1;0
"2019";">> 8413 Groenland";"Droit de cité - total";10;5;5;0;2;2;0;0;8;3;5;0
"2019";">> 8414 Guadeloupe";"Droit de cité - total";240;38;145;57;89;17;49;23;151;21;96;34
"2019";">> 8415 Guatemala";"Droit de cité - total";1112;269;673;170;519;135;315;69;593;134;358;101
"2019";">> 8416 Guyane Française";"Droit de cité - total";56;14;34;8;34;10;19;5;22;4;15;3
"2019";">> 8417 Guyana";"Droit de cité - total";12;2;8;2;6;0;6;0;6;2;2;2
"2019";">> 8418 Haïti";"Droit de cité - total";107;15;62;30;49;6;28;15;58;9;34;15
"2019";">> 8419 Belize";"Droit de cité - total";33;4;23;6;14;1;11;2;19;3;12;4
"2019";">> 8420 Honduras";"Droit de cité - total";218;55;119;44;103;28;56;19;115;27;63;25
"2019";">> 8421 Jamaïque";"Droit de cité - total";125;24;66;35;48;13;25;10;77;11;41;25
"2019";">> 8423 Canada";"Droit de cité - total";40274;6387;24256;9631;19059;3257;11814;3988;21215;3130;12442;5643
"2019";">> 8424 Colombie";"Droit de cité - total";2464;484;1403;577;1222;257;699;266;1242;227;704;311
"2019";">> 8425 Cuba";"Droit de cité - total";305;100;165;40;162;57;73;32;143;43;92;8
"2019";">> 8426 Martinique";"Droit de cité - total";171;44;88;39;77;22;41;14;94;22;47;25
